"time","cases","births","pop","yr","biweek"
2002,38,12783.7760355,12414345.9230769,2002,1
2002.04,59,12783.7760355,12423280.8461538,2002,2
2002.08,51,12783.7760355,12432215.7692308,2002,3
2002.12,58,12783.7760355,12441150.6923077,2002,4
2002.15,76,12783.7760355,12450085.6153846,2002,5
2002.19,109,12783.7760355,12459020.5384615,2002,6
2002.23,140,12783.7760355,12467955.4615385,2002,7
2002.27,129,12783.7760355,12476890.3846154,2002,8
2002.31,176,12783.7760355,12485825.3076923,2002,9
2002.35,395,12783.7760355,12494760.2307692,2002,10
2002.38,635,12783.7760355,12503695.1538462,2002,11
2002.42,568,12783.7760355,12512630.0769231,2002,12
2002.46,905,12783.7760355,12521565,2002,13
2002.5,1172,12783.7760355,12530499.9230769,2002,14
2002.54,1083,12783.7760355,12539434.8461538,2002,15
2002.58,1114,12783.7760355,12548369.7692308,2002,16
2002.62,908,12783.7760355,12557304.6923077,2002,17
2002.65,996,12783.7760355,12566239.6153846,2002,18
2002.69,861,12783.7760355,12575174.5384615,2002,19
2002.73,640,12783.7760355,12584109.4615385,2002,20
2002.77,703,12783.7760355,12593044.3846154,2002,21
2002.81,491,12783.7760355,12601979.3076923,2002,22
2002.85,307,12783.7760355,12610914.2307692,2002,23
2002.88,297,12783.7760355,12619849.1538462,2002,24
2002.92,274,12783.7760355,12628784.0769231,2002,25
2002.96,256,12783.7760355,12637719,2002,26
2003,236,12851.5880907692,12646121,2003,1
2003.04,162,12851.5880907692,12654523,2003,2
2003.08,126,12851.5880907692,12662925,2003,3
2003.12,94,12851.5880907692,12671327,2003,4
2003.15,116,12851.5880907692,12679729,2003,5
2003.19,136,12851.5880907692,12688131,2003,6
2003.23,154,12851.5880907692,12696533,2003,7
2003.27,244,12851.5880907692,12704935,2003,8
2003.31,268,12851.5880907692,12713337,2003,9
2003.35,362,12851.5880907692,12721739,2003,10
2003.38,529,12851.5880907692,12730141,2003,11
2003.42,915,12851.5880907692,12738543,2003,12
2003.46,931,12851.5880907692,12746945,2003,13
2003.5,1169,12851.5880907692,12755347,2003,14
2003.54,1336,12851.5880907692,12763749,2003,15
2003.58,1280,12851.5880907692,12772151,2003,16
2003.62,1147,12851.5880907692,12780553,2003,17
2003.65,674,12851.5880907692,12788955,2003,18
2003.69,540,12851.5880907692,12797357,2003,19
2003.73,457,12851.5880907692,12805759,2003,20
2003.77,327,12851.5880907692,12814161,2003,21
2003.81,281,12851.5880907692,12822563,2003,22
2003.85,184,12851.5880907692,12830965,2003,23
2003.88,196,12851.5880907692,12839367,2003,24
2003.92,120,12851.5880907692,12847769,2003,25
2003.96,97,12851.5880907692,12856171,2003,26
2004,90,12975.3378158077,12864259.6153846,2004,1
2004.04,78,12975.3378158077,12872348.2307692,2004,2
2004.08,77,12975.3378158077,12880436.8461538,2004,3
2004.12,84,12975.3378158077,12888525.4615385,2004,4
2004.15,94,12975.3378158077,12896614.0769231,2004,5
2004.19,76,12975.3378158077,12904702.6923077,2004,6
2004.23,85,12975.3378158077,12912791.3076923,2004,7
2004.27,72,12975.3378158077,12920879.9230769,2004,8
2004.31,149,12975.3378158077,12928968.5384615,2004,9
2004.35,244,12975.3378158077,12937057.1538462,2004,10
2004.38,484,12975.3378158077,12945145.7692308,2004,11
2004.42,565,12975.3378158077,12953234.3846154,2004,12
2004.46,828,12975.3378158077,12961323,2004,13
2004.5,1067,12975.3378158077,12969411.6153846,2004,14
2004.54,1198,12975.3378158077,12977500.2307692,2004,15
2004.58,895,12975.3378158077,12985588.8461538,2004,16
2004.62,825,12975.3378158077,12993677.4615385,2004,17
2004.65,692,12975.3378158077,13001766.0769231,2004,18
2004.69,597,12975.3378158077,13009854.6923077,2004,19
2004.73,469,12975.3378158077,13017943.3076923,2004,20
2004.77,376,12975.3378158077,13026031.9230769,2004,21
2004.81,296,12975.3378158077,13034120.5384615,2004,22
2004.85,223,12975.3378158077,13042209.1538462,2004,23
2004.88,153,12975.3378158077,13050297.7692308,2004,24
2004.92,126,12975.3378158077,13058386.3846154,2004,25
2004.96,140,12975.3378158077,13066475,2004,26
2005,92,13140.3508394231,13074431.9230769,2005,1
2005.04,55,13140.3508394231,13082388.8461538,2005,2
2005.08,35,13140.3508394231,13090345.7692308,2005,3
2005.12,54,13140.3508394231,13098302.6923077,2005,4
2005.15,67,13140.3508394231,13106259.6153846,2005,5
2005.19,77,13140.3508394231,13114216.5384615,2005,6
2005.23,83,13140.3508394231,13122173.4615385,2005,7
2005.27,83,13140.3508394231,13130130.3846154,2005,8
2005.31,106,13140.3508394231,13138087.3076923,2005,9
2005.35,180,13140.3508394231,13146044.2307692,2005,10
2005.38,312,13140.3508394231,13154001.1538462,2005,11
2005.42,397,13140.3508394231,13161958.0769231,2005,12
2005.46,552,13140.3508394231,13169915,2005,13
2005.5,805,13140.3508394231,13177871.9230769,2005,14
2005.54,1195,13140.3508394231,13185828.8461538,2005,15
2005.58,1036,13140.3508394231,13193785.7692308,2005,16
2005.62,883,13140.3508394231,13201742.6923077,2005,17
2005.65,694,13140.3508394231,13209699.6153846,2005,18
2005.69,581,13140.3508394231,13217656.5384615,2005,19
2005.73,437,13140.3508394231,13225613.4615385,2005,20
2005.77,344,13140.3508394231,13233570.3846154,2005,21
2005.81,311,13140.3508394231,13241527.3076923,2005,22
2005.85,267,13140.3508394231,13249484.2307692,2005,23
2005.88,164,13140.3508394231,13257441.1538462,2005,24
2005.92,114,13140.3508394231,13265398.0769231,2005,25
2005.96,116,13140.3508394231,13273355,2005,26
2006,55,13324.9168790385,13281214.6153846,2006,1
2006.04,71,13324.9168790385,13289074.2307692,2006,2
2006.08,55,13324.9168790385,13296933.8461538,2006,3
2006.12,61,13324.9168790385,13304793.4615385,2006,4
2006.15,77,13324.9168790385,13312653.0769231,2006,5
2006.19,119,13324.9168790385,13320512.6923077,2006,6
2006.23,124,13324.9168790385,13328372.3076923,2006,7
2006.27,172,13324.9168790385,13336231.9230769,2006,8
2006.31,315,13324.9168790385,13344091.5384615,2006,9
2006.35,427,13324.9168790385,13351951.1538462,2006,10
2006.38,572,13324.9168790385,13359810.7692308,2006,11
2006.42,829,13324.9168790385,13367670.3846154,2006,12
2006.46,903,13324.9168790385,13375530,2006,13
2006.5,1145,13324.9168790385,13383389.6153846,2006,14
2006.54,1391,13324.9168790385,13391249.2307692,2006,15
2006.58,1639,13324.9168790385,13399108.8461538,2006,16
2006.62,1623,13324.9168790385,13406968.4615385,2006,17
2006.65,1509,13324.9168790385,13414828.0769231,2006,18
2006.69,1225,13324.9168790385,13422687.6923077,2006,19
2006.73,1156,13324.9168790385,13430547.3076923,2006,20
2006.77,675,13324.9168790385,13438406.9230769,2006,21
2006.81,532,13324.9168790385,13446266.5384615,2006,22
2006.85,523,13324.9168790385,13454126.1538462,2006,23
2006.88,474,13324.9168790385,13461985.7692308,2006,24
2006.92,408,13324.9168790385,13469845.3846154,2006,25
2006.96,570,13324.9168790385,13477705,2006,26
2007,188,13503.6236634615,13485483.7692308,2007,1
2007.04,334,13503.6236634615,13493262.5384615,2007,2
2007.08,267,13503.6236634615,13501041.3076923,2007,3
2007.12,175,13503.6236634615,13508820.0769231,2007,4
2007.15,253,13503.6236634615,13516598.8461538,2007,5
2007.19,282,13503.6236634615,13524377.6153846,2007,6
2007.23,405,13503.6236634615,13532156.3846154,2007,7
2007.27,582,13503.6236634615,13539935.1538462,2007,8
2007.31,1169,13503.6236634615,13547713.9230769,2007,9
2007.35,1729,13503.6236634615,13555492.6923077,2007,10
2007.38,2657,13503.6236634615,13563271.4615385,2007,11
2007.42,4826,13503.6236634615,13571050.2307692,2007,12
2007.46,5501,13503.6236634615,13578829,2007,13
2007.5,5627,13503.6236634615,13586607.7692308,2007,14
2007.54,4638,13503.6236634615,13594386.5384615,2007,15
2007.58,3726,13503.6236634615,13602165.3076923,2007,16
2007.62,2489,13503.6236634615,13609944.0769231,2007,17
2007.65,1756,13503.6236634615,13617722.8461538,2007,18
2007.69,1112,13503.6236634615,13625501.6153846,2007,19
2007.73,807,13503.6236634615,13633280.3846154,2007,20
2007.77,371,13503.6236634615,13641059.1538462,2007,21
